particle_count,seed,density_2d,temperature_late_mean,mean_thermal_speed,mean_free_path,knudsen_number,knudsen_regime,kinetic_viscosity,reynolds_number,reynolds_regime,mean_vx_late_mean,total_particle_collisions,total_wall_collisions
80,1,0.6666666666666666,0.9971239481246593,1.4121784222432088,0.9964539781676467,0.3321513260558822,transition,0.4690569355755853,0.051936681255162966,creeping,-0.012180630276756341,72,31
80,2,0.6666666666666666,0.9966178118265343,1.411819968570026,0.8670235121662969,0.2890078373887656,transition,0.40802703589869826,0.038621133764036496,creeping,0.007879233366393474,71,34
80,3,0.6666666666666666,0.9959991091952847,1.4113816699924118,1.0302306267535293,0.3434102089178431,transition,0.48468287415490835,0.3310720200667466,creeping,0.08023246911911111,79,37
120,1,1.0,0.9965133583938157,1.4117459816792932,0.792842562057297,0.264280854019099,transition,0.5596461505443523,0.11549932454291013,creeping,0.021546250790304165,119,51
120,2,1.0,0.9951134029601802,1.4107539849032362,0.981768545493529,0.32725618183117633,transition,0.6925169439038251,0.016998417391554957,creeping,0.003923897354400423,123,54
120,3,1.0,0.9956900465515006,1.411162674216903,0.9016738636730364,0.3005579545576788,transition,0.6362042503661646,0.16517664986904207,creeping,-0.035028695569309445,120,52
160,1,1.3333333333333333,0.9950406591020347,1.410702420145393,0.7996020981281281,0.26653403270937603,transition,0.7520004099884562,0.46047437314311757,creeping,-0.08656922934820045,231,80
160,2,1.3333333333333333,0.9930442524984595,1.4092865233858298,0.708213048378466,0.23607101612615533,transition,0.6653834031771791,0.3242544245483196,creeping,-0.05393837812530469,220,77
160,3,1.3333333333333333,0.997457969234584,1.4124149314097356,0.7614685264880698,0.25382284216268997,transition,0.7170063444068797,0.0838755982929845,creeping,0.015034834029248186,235,63
240,1,2.0,0.9990872475394774,1.4135680015757837,0.5990650099967696,0.19968833666558986,transition,0.8468191289951105,0.10235074131714175,creeping,0.014445427602364308,523,118
240,2,2.0,0.9949828670529339,1.4106614526901442,0.5926378537632293,0.19754595125440977,transition,0.8360113757088063,0.5937864492691043,creeping,-0.08273537105511854,571,119
240,3,2.0,0.9962728934778663,1.4115756398279664,0.5557107467853786,0.1852369155951262,transition,0.7844277529528478,0.23970373595403843,creeping,-0.031338377161471524,545,121
