time,mean_vx,mean_vy,temperature
0.0,-5.662137425588298e-17,4.218847493575595e-17,1.0
0.005,-5.662137425588298e-17,4.218847493575595e-17,1.0
0.10500000000000002,-2.997602166487923e-17,3.3306690738754695e-17,1.0
0.2050000000000001,-3.8857805861880476e-17,4.218847493575595e-17,1.0
0.30500000000000016,-3.8857805861880476e-17,-0.006741609310598654,0.9999772753519516
0.40500000000000025,-1.2212453270876722e-17,-0.0067416093105986275,0.9999772753519516
0.5050000000000003,-0.07478911774916547,-0.0067416093105986275,0.9971805692851022
0.6050000000000004,-0.07478911774916547,-0.030348490270177865,0.996742778502311
0.7050000000000005,-0.07478911774916551,-0.030348490270177865,0.9967427785023111
0.8050000000000006,-0.03369767248186425,0.010520066143586368,0.99937689753882
0.9050000000000007,-0.03369767248186426,0.010520066143586394,0.99937689753882
1.0050000000000006,-0.06929942820923053,0.010520066143586394,0.9975434587291039
1.1049999999999984,-0.057044115079165646,0.005021238366149757,0.9983603780500525
1.2049999999999963,-0.03519467405630646,0.030519688763992265,0.9989149417579096
1.3049999999999942,-0.03519467405630646,0.030519688763992265,0.9989149417579096
1.404999999999992,-0.07385947015902719,-0.03302234895920254,0.9967271515685222
1.50499999999999,-0.0738594701590272,-0.031908001596650984,0.9967633290509679
1.6049999999999878,-0.0738594701590272,-0.010276266329642377,0.9972195885090749
1.7049999999999856,-0.04566026309139776,-0.01027626632964234,0.9989047693623732
1.8049999999999835,-0.04566026309139776,-0.01027626632964234,0.9989047693623732
1.9049999999999814,-0.04566026309139776,-0.022761469427090772,0.9986985279419717
2.0049999999999795,-0.04566026309139776,-0.022761469427090827,0.9986985279419719
2.1049999999999773,-0.04566026309139776,-0.003879514662144685,0.9989500448702053
2.204999999999975,-0.04566026309139776,-6.924028079545063e-05,0.9989575677901041
2.304999999999973,-0.0011400308040026396,-6.924028079545063e-05,0.9999993477677747
2.404999999999971,0.017859941645459676,-6.924028079545508e-05,0.999840508845102
2.504999999999969,0.017859941645459676,0.03385714447668557,0.9992673581261527
