wall_model,seed,particle_count,density_2d,temperature_late_mean,mean_thermal_speed,mean_free_path,kinetic_viscosity,reynolds_number,reynolds_regime,knudsen_number,mean_vx_late_mean,mean_vx_late_std,total_particle_collisions,total_wall_collisions
specular,1,80,0.6666666666666666,0.9961356513764938,1.4114784103035327,0.7576638581564116,0.3564753926850177,0.06324945694055531,creeping,0.2525546193854705,0.011273437499999286,0.002377857382007234,69,33
specular,2,80,0.6666666666666666,0.9982896506950272,1.4130036452147088,0.9800166442411051,0.46158903022792264,0.04884621064080295,creeping,0.32667221474703506,0.011273437499998535,0.0023778573820073343,64,32
specular,3,80,0.6666666666666666,0.9969985259959234,1.4120896048027005,1.0149553876500765,0.47773598407972273,0.04719526213507253,creeping,0.3383184625500255,0.011273437499999676,0.0023778573820073695,64,33
specular,4,80,0.6666666666666666,0.9616443006399951,1.3868268101244619,0.8784096416821541,0.40606734711887776,0.05552496441776807,creeping,0.29280321389405134,0.011273437499996583,0.0023778573820068868,66,32
specular,5,80,0.6666666666666666,0.9988015744286302,1.4133658934816775,0.9501460572846572,0.44763467706407417,0.050368919467716995,creeping,0.3167153524282191,0.011273437499998928,0.0023778573820067306,60,41
specular,6,80,0.6666666666666666,0.9885378525654743,1.4060852410614901,0.9682309685489877,0.45380509160513444,0.049684050305039744,creeping,0.3227436561829959,0.011273437499996335,0.002377857382006458,60,39
specular,7,80,0.6666666666666666,0.9984802761191667,1.4131385467243944,0.9497841077482345,0.4473921779084219,0.050396220840078915,creeping,0.31659470258274486,0.011273437499998352,0.0023778573820071626,59,34
specular,8,80,0.6666666666666666,0.9575367780824457,1.3838618269772787,0.9463347624343906,0.4365321844248549,0.051649971764851685,creeping,0.3154449208114635,0.011273437499996392,0.0023778573820066448,77,26
diffuse_same_speed,1,80,0.6666666666666666,0.9971239481246593,1.4121784222432088,0.9964539781676467,0.4690569355755853,0.051936681255162966,creeping,0.3321513260558822,-0.012180630276756341,0.02406942877268457,72,31
diffuse_same_speed,2,80,0.6666666666666666,0.9966178118265343,1.411819968570026,0.8670235121662969,0.40802703589869826,0.038621133764036496,creeping,0.2890078373887656,0.007879233366393474,0.022913118428000222,71,34
diffuse_same_speed,3,80,0.6666666666666666,0.9959991091952847,1.4113816699924118,1.0302306267535293,0.48468287415490835,0.3310720200667466,creeping,0.3434102089178431,0.08023246911911111,0.03957926688417409,79,37
diffuse_same_speed,4,80,0.6666666666666666,0.9664330162141166,1.3902755239261868,0.8749354959547226,0.4054671350133567,0.24676932561699388,creeping,0.29164516531824086,0.05002842573355032,0.04293582893762422,59,34
diffuse_same_speed,5,80,0.6666666666666666,0.9975954590927051,1.4125122718707297,0.931146883921588,0.43841880015114426,0.20333089752209318,creeping,0.3103822946405293,-0.044572044062645685,0.04676183643724785,58,39
diffuse_same_speed,6,80,0.6666666666666666,0.9912537292286089,1.4080154326061975,1.1451412911065102,0.5374588701308508,0.1364190759092681,creeping,0.3817137637021701,0.03665982120124501,0.026423640376571307,60,43
diffuse_same_speed,7,80,0.6666666666666666,0.9970803041702558,1.4121475164941202,1.0908312672853067,0.5134715550036931,0.2464883680316834,creeping,0.36361042242843555,0.06328238281177553,0.04054339385477569,65,36
diffuse_same_speed,8,80,0.6666666666666666,0.9701633982243909,1.3929561358667335,1.0067394515596848,0.4674479654230577,0.3580745142202191,creeping,0.3355798171865616,0.08369060157104558,0.03364220831179499,71,25
diffuse_thermal,1,80,0.6666666666666666,0.7585805876107654,1.2317309670628285,0.7708102924894993,0.31647696899669087,0.10354762594385326,creeping,0.2569367641631664,-0.016385219402756897,0.013790179577742175,67,35
diffuse_thermal,2,80,0.6666666666666666,0.7975944341338542,1.2630078654813313,0.8166250654794768,0.34380129361659545,0.15535276073116158,creeping,0.2722083551598256,0.026705240053141392,0.020443378002407888,66,31
diffuse_thermal,3,80,0.6666666666666666,0.894708646041907,1.3376910301275904,0.9221348327301205,0.41117716477042937,0.27098787015763703,creeping,0.3073782775767068,0.05571201206929723,0.012297203115338134,65,32
diffuse_thermal,4,80,0.6666666666666666,0.833520273871379,1.2911392441339384,1.0330624215229758,0.44460914468945034,0.5607509511943011,creeping,0.3443541405076586,0.12465750039714697,0.05977669452626489,56,34
diffuse_thermal,5,80,0.6666666666666666,0.7722328351031915,1.2427653319136251,0.7103289366798679,0.29425739225360276,0.020228119877283016,creeping,0.23677631222662263,-0.0029761369026412837,0.015714596670555362,62,43
diffuse_thermal,6,80,0.6666666666666666,0.8450279801326441,1.3000215230007879,1.237810809565611,0.5363935646127747,0.042959201876568785,creeping,0.412603603188537,0.011521519713746264,0.031965811714882546,57,39
diffuse_thermal,7,80,0.6666666666666666,0.7428689083035682,1.218908452922998,0.9643497427100612,0.39181801765447066,0.3390496537036811,creeping,0.32144991423668706,-0.06642288160030554,0.023702305012610267,55,38
diffuse_thermal,8,80,0.6666666666666666,0.9389171691503095,1.370340956952181,0.8972986655571489,0.4098683706771661,0.34316420280163096,creeping,0.2990995551857163,-0.07032607633851655,0.016421331299710927,71,22
