wall_model,mean_vx_final,mean_vx_late_mean,mean_vx_late_std,mean_vy_final,temperature_initial,temperature_final,energy_initial,energy_final,relative_energy_change,total_particle_collisions,total_wall_collisions,specular_wall_collisions,diffuse_wall_collisions,thermal_wall_collisions,mean_free_path,free_path_samples
specular,0.014999999999999255,0.011273437499999286,0.002377857382007234,-0.14211564862453935,1.0,0.9899015712080118,80.0,80.00899999999987,0.00011249999999840554,69,33,33,0,0,0.7576638581564116,52
diffuse_same_speed,0.008706310517854763,-0.012180630276756341,0.02406942877268457,-0.027862094588535523,1.0,0.9991106044530401,80.0,79.96293220255097,-0.0004633474681128291,72,31,0,31,0,0.9964539781676467,62
diffuse_thermal,-0.03444492105203497,-0.016385219402756897,0.013790179577742175,-0.05071661849426443,1.0,0.7092242777977733,80.0,56.888287342932806,-0.28889640821333995,67,35,0,0,35,0.7708102924894993,53
