y,ux
0.25,-0.11930395313165537
0.75,-0.6148229459379206
1.25,-0.084152326771786
1.75,0.6217666124096163
2.25,-0.2937016639104373
2.75,0.68898723412011
3.25,-0.46117317325010393
3.75,0.05670687085126044
4.25,-1.1013757431833735
4.75,
5.25,-0.14414424869769857
5.75,0.10801863700180614
6.25,-0.23396406304808462
6.75,0.6207198054909069
7.25,-0.8840927861045118
7.75,-0.3390640658233433
8.25,-0.27849792149392444
8.75,-0.1703294752885935
9.25,0.29014688335146943
9.75,0.5573926676784885
10.25,-0.3865515428059192
10.75,-0.20392849245495587
11.25,-0.3336029056233167
11.75,0.07340327187153375
12.25,-0.8445716397693976
12.75,0.9490589003676375
13.25,0.20152641932030987
13.75,-0.23749558930416168
14.25,0.7581457513726004
14.75,-0.5049374847848463
